"""""","""Entry.Number""","""date""","""Terminus(m)""","""Author"""
"""1""",0,1.95327397260274,0,"""Catania"""
"""2""",1,1.96474316939891,1545,"""Catania"""
"""3""",2,1.96957534246575,315,"""Catania"""
"""4""",3,1.97321369863014,1260,"""Howat"""
"""5""",4,1.97321369863014,1125,"""Black_Taryn"""
"""6""",5,1.97321643835616,930,"""Catania"""
"""7""",6,1.97521643835616,960,"""Catania"""
"""8""",7,1.97526575342466,735,"""Catania"""
"""9""",8,1.97526575342466,870,"""Black_Taryn"""
"""10""",9,1.97526575342466,630,"""Howat"""
"""11""",10,1.97624590163934,330,"""Black_Taryn"""
"""12""",11,1.97634153005464,1050,"""Howat"""
"""13""",12,1.97850136986301,1080,"""Korsgaard"""
"""14""",13,1.98228767123288,180,"""Catania"""
"""15""",14,1.9822904109589,330,"""Black_Taryn"""
"""16""",15,1.98535890410959,2295,"""Wood"""
"""17""",16,1.98535890410959,2280,"""Catania"""
"""18""",17,1.98535890410959,2280,"""Black_Taryn"""
"""19""",18,1.98535890410959,2265,"""Cheng"""
"""20""",19,1.98538356164384,2205,"""Bevan"""
"""21""",20,1.98540273972603,2070,"""Cheng"""
"""22""",21,1.98544657534247,2040,"""Catania"""
"""23""",22,1.98545205479452,690,"""Catania"""
"""24""",23,1.98546575342466,765,"""Catania"""
"""25""",24,1.98546575342466,840,"""Cheng"""
"""26""",25,1.98547123287671,750,"""Bevan"""
"""27""",26,1.98547397260274,780,"""Catania"""
"""28""",27,1.98549589041096,975,"""Catania"""
"""29""",28,1.98551506849315,1035,"""Bevan"""
"""30""",29,1.98551506849315,975,"""Catania"""
"""31""",30,1.98553424657534,990,"""Catania"""
"""32""",31,1.9855397260274,1020,"""Catania"""
"""33""",32,1.98555342465753,1065,"""Catania"""
"""34""",33,1.98555890410959,1080,"""Bevan"""
"""35""",34,1.98555890410959,1125,"""Catania"""
"""36""",35,1.98558356164384,1275,"""Howat"""
"""37""",36,1.98559726027397,1260,"""Catania"""
"""38""",37,1.98562191780822,1200,"""Catania"""
"""39""",38,1.98562739726027,330,"""Catania"""
"""40""",39,1.98564657534247,435,"""Bevan"""
"""41""",40,1.98566575342466,540,"""Wood"""
"""42""",41,1.98566575342466,525,"""Catania"""
"""43""",42,1.98567123287671,555,"""Catania"""
"""44""",43,1.98568493150685,585,"""Catania"""
"""45""",44,1.9856904109589,735,"""Catania"""
"""46""",45,1.9857095890411,780,"""Fahrner"""
"""47""",46,1.9857095890411,705,"""Catania"""
"""48""",47,1.98625479452055,105,"""Black_Taryn"""
"""49""",48,1.98632876712329,345,"""Catania"""
"""50""",49,1.98632876712329,390,"""Wood"""
"""51""",50,1.9864301369863,615,"""Catania"""
"""52""",51,1.98649863013699,-105,"""Catania"""
"""53""",52,1.98656712328767,405,"""Catania"""
"""54""",53,1.98665479452055,645,"""Catania"""
"""55""",54,1.98667945205479,615,"""Catania"""
"""56""",55,1.98667945205479,660,"""Wood"""
"""57""",56,1.98671780821918,285,"""Wood"""
"""58""",57,1.98671780821918,120,"""Catania"""
"""59""",58,1.98671780821918,255,"""Fahrner"""
"""60""",59,1.98726849315068,1710,"""Black_Taryn"""
"""61""",60,1.98726849315068,1695,"""Catania"""
"""62""",61,1.98728767123288,1860,"""Bevan"""
"""63""",62,1.98737534246575,1485,"""Wood"""
"""64""",63,1.98737534246575,1470,"""Bevan"""
"""65""",64,1.98748219178082,2325,"""Catania"""
"""66""",65,1.98748219178082,1095,"""Catania"""
"""67""",66,1.98748219178082,1860,"""Catania"""
"""68""",67,1.98761369863014,1290,"""Catania"""
"""69""",68,1.98764383561644,1470,"""Catania"""
"""70""",69,1.98766301369863,660,"""Catania"""
"""71""",70,1.98766301369863,855,"""Wood"""
"""72""",71,1.98768767123288,825,"""Catania"""
"""73""",72,1.98770136986301,975,"""Fahrner"""
"""74""",73,1.98770136986301,885,"""Catania"""
"""75""",74,1.98822677595628,570,"""Black_Taryn"""
"""76""",75,1.98825683060109,675,"""Wood"""
"""77""",76,1.98827595628415,855,"""Catania"""
"""78""",77,1.98829508196721,870,"""Bevan"""
"""79""",78,1.98829508196721,840,"""Cheng"""
